,Name,Contact,Category,Years in Business
0,BHB  Valet,(424) 394-0219,Party & Event Planners,28YEARSIN BUSINESS
1,BHB  Valet,(424) 394-0219,Party & Event Planners,28YEARSIN BUSINESS
2,Any Day Anytime Cleaning Service,(661) 621-2094,Party & Event Planners,24YEARSIN BUSINESS
3,Air BnB,(818) 915-3786,Party & Event Planners,None
4,angels event,(310) 529-1106,Party & Event Planners,None
5,Alegre Party Supply,(323) 236-2877,Party & Event Planners,None
6,West Coast Custom Events,(323) 826-4751,Party & Event Planners,None
7,A V Party Rentals,(818) 336-1795,Party & Event Planners,55YEARSIN BUSINESS
8,Arcades & Party Rentals by GEMS INC.,(818) 980-7368,Party & Event Planners,28YEARSIN BUSINESS
9,Ventura Boat Rentals .com & A Beautiful Burial At Sea .com,(805) 232-5750,Party & Event Planners,41YEARSIN BUSINESS
10,Party Truck Game Center,(855) 784-2632,Party & Event Planners,None
11,All Valley Party Rentals,(818) 891-3676,Party & Event Planners,44YEARSIN BUSINESS
12,Wedgewood Banquet Center,(866) 966-3009,Party & Event Planners,37YEARSIN BUSINESS
13,Pico Party Rents & Sells,(323) 936-8268,Party & Event Planners,98YEARSIN BUSINESS
14,GuardNow,(818) 344-4852,Party & Event Planners,24YEARSIN BUSINESS
15,LAZ Parking/ Sunset Services,(877) 900-7275,Party & Event Planners,None
16,Mountain Valley Water Co,(800) 499-9982,Party & Event Planners,152YEARSIN BUSINESS
17,House of Anjelux,(323) 452-2302,Party & Event Planners,12YEARSIN BUSINESS
18,VC Photography,(323) 470-2143,Party & Event Planners,18YEARSIN BUSINESS
19,Party For Less,(323) 354-4519,Party & Event Planners,None
20,American Home Design Fabrics & Tablecloths,(213) 258-2139,Party & Event Planners,None
21,De Gloriana Community Hall,(323) 234-7576,Party & Event Planners,11YEARSIN BUSINESS
22,Party Palace Entertainment Com Inc,(310) 764-4222,Party & Event Planners,None
23,Whimsic Alley,(310) 453-2370,Party & Event Planners,19YEARSIN BUSINESS
24,GBK Productions,(323) 933-9989,Party & Event Planners,23YEARSIN BUSINESS
25,SUPERSTAR STYLE FASHION JEWELRY,(310) 654-8103,Party & Event Planners,9YEARSIN BUSINESS
26,TapSnap Photo Booth,(323) 425-9743,Party & Event Planners,11YEARSIN BUSINESS
27,RED CARPET CONNECTIONS  INC,(818) 983-5788,Party & Event Planners,15YEARSIN BUSINESS
28,Cash Cube Money Machine Store â„¢,(213) 426-8500,Party & Event Planners,36YEARSIN BUSINESS
29,Revelry Event Designers,(323) 263-1657,Party & Event Planners,24YEARSIN BUSINESS
30,Dori's Jumpers,(877) 481-6233,Party & Event Planners,None
31,Banquet Hall For Rent,(562) 244-4247,Party & Event Planners,None
32,Good Gracious Events,(323) 954-2277,Party & Event Planners,35YEARSIN BUSINESS
33,Inspired Dream Events,(310) 795-8832,Party & Event Planners,None
34,Living the Dream Unlimited,(323) 496-2022,Party & Event Planners,None
35,Our imagination Creation,(323) 307-1505,Party & Event Planners,None
36,Diana Event Coordinator,(213) 207-6538,Party & Event Planners,9YEARSIN BUSINESS
37,Mariachi Raza Jaliciense,(323) 523-6379,Party & Event Planners,9YEARSIN BUSINESS
38,2 Shades of Divine Event Planning,(562) 479-8532,Party & Event Planners,9YEARSIN BUSINESS
39,Buongiorno Party,(323) 636-7957,Party & Event Planners,16YEARSIN BUSINESS
40,MjsKitchen,(562) 215-3031,Party & Event Planners,None
41,AMARA ONONI Event Design,(213) 290-4166,Party & Event Planners,9YEARSIN BUSINESS
42,Fever Paint Studios,(310) 480-2079,Party & Event Planners,15YEARSIN BUSINESS
43,Floatastic,(617) 335-5062,Party & Event Planners,None
44,Ski Dazzle,(949) 497-4977,Party & Event Planners,None
45,ETC Event Traffic Control,(424) 230-9382,Party & Event Planners,27YEARSIN BUSINESS
46,TheWeddingPlanner1,(323) 535-3991,Party & Event Planners,20YEARSIN BUSINESS
47,LB & ASSOCIATES EVENT PLANNING,(213) 413-0548,Party & Event Planners,22YEARSIN BUSINESS
48,Flowers and Diamonds,(801) 403-4315,Party & Event Planners,None
49,Teresa Flowers,(801) 403-4315,Party & Event Planners,None
50,The Best Wedding,(323) 350-3055,Party & Event Planners,None
51,The Holding Company,(323) 404-0524,Party & Event Planners,None
52,A Day Of Your Life,(310) 598-7475,Party & Event Planners,26YEARSIN BUSINESS
53,MyRay Creativeness,(213) 631-8920,Party & Event Planners,None
54,Reign by Lady T - Events & Branding,(213) 278-7905,Party & Event Planners,9YEARSIN BUSINESS
55,Get Dapper,(323) 762-5987,Party & Event Planners,11YEARSIN BUSINESS
56,Party Design By Dina,(323) 464-4915,Party & Event Planners,None
57,Office Space Jorge,(818) 310-1574,Party & Event Planners,10YEARSIN BUSINESS
58,J Alexis Events & Consulting,(323) 330-9546,Party & Event Planners,None
59,Party Staff Inc,(323) 933-3900,Party & Event Planners,29YEARSIN BUSINESS
60,Cinematic Pictures Group,(323) 745-0662,Party & Event Planners,None
61,Premier Staff Inc,(323) 250-2211,Party & Event Planners,None
62,Bolthouse Productions,(323) 848-9300,Party & Event Planners,None
63,PBC Events Los Angeles Party Planners,(323) 938-7121,Party & Event Planners,41YEARSIN BUSINESS
64,My Game Truck Rolling Video Games,(323) 480-4868,Party & Event Planners,9YEARSIN BUSINESS
65,Chavelita's Party,(323) 582-4200,Party & Event Planners,12YEARSIN BUSINESS
66,Unique Space,(213) 486-9821,Party & Event Planners,None
67,Rrivre Works Studio,(323) 985-4229,Party & Event Planners,8YEARSIN BUSINESS
68,Hernandez Party Supplies & Rentals,(855) 727-8906,Party & Event Planners,None
69,Odd Fellow,(213) 746-4490,Party & Event Planners,75YEARSIN BUSINESS
70,Charles Party Rents,(213) 483-5057,Party & Event Planners,None
71,Big & Tiny,(213) 674-7630,Party & Event Planners,None
72,MyDesign,(213) 595-6950,Party & Event Planners,11YEARSIN BUSINESS
73,Champion Site + Sound,(323) 661-0346,Party & Event Planners,None
74,Spirited Group Iv,(213) 263-2709,Party & Event Planners,None
75,Dis Events Inc,(213) 389-3472,Party & Event Planners,None
76,JEANNETT PARTY SUPPLY,(323) 733-1660,Party & Event Planners,17YEARSIN BUSINESS
77,Bridge Street Inc,(323) 292-2200,Party & Event Planners,None
78,Event Works,(310) 323-1268,Party & Event Planners,9YEARSIN BUSINESS
79,Runway Waiters,(310) 994-6231,Party & Event Planners,11YEARSIN BUSINESS
80,Grant Associates,(323) 904-4400,Party & Event Planners,29YEARSIN BUSINESS
81,Event Eleven,(323) 549-9980,Party & Event Planners,46YEARSIN BUSINESS
82,The Silverbelles Holiday Carolers,(818) 985-5627,Party & Event Planners,25YEARSIN BUSINESS
83,Shiraz Events,(323) 466-5020,Party & Event Planners,None
84,Fabulous Inc,(323) 944-0744,Party & Event Planners,None
85,Argyle Event Staffing,(323) 462-8280,Party & Event Planners,None
86,Special Occasions Inc,(310) 360-8700,Party & Event Planners,39YEARSIN BUSINESS
87,Sweets Event Decor,(323) 868-1436,Party & Event Planners,None
88,Revelry Event Designers,(323) 263-1657,Party & Event Planners,None
89,Lupitas Salon 2,(213) 407-1887,Party & Event Planners,10YEARSIN BUSINESS
90,Chavelitas,(323) 582-4200,Party & Event Planners,18YEARSIN BUSINESS
